name,feature,imgUrl
해물쟁반짜장,새우 춘장 면 돼지고기 조개 촉촉함 면류,https://wte-s3.s3.ap-northeast-2.amazonaws.com/wte_food_img/china/cha_8.jpeg
짬뽕밥,새우 조개 밥 양파 고추가루 얼큰함 미분류,https://wte-s3.s3.ap-northeast-2.amazonaws.com/wte_food_img/china/cha_9.jpg
마파두부,두부 돼지고기 고추 전분가루 대파 부드러움 미분류,https://wte-s3.s3.ap-northeast-2.amazonaws.com/wte_food_img/china/cha_10.jpg
팥보채,고추 오징어 조개 청경채 굴소스 부드러움 미분류,https://wte-s3.s3.ap-northeast-2.amazonaws.com/wte_food_img/china/cha_11.jpeg
난자완스,돼지고기 양파 피망 버섯 전분가루 부드러움 미분류,https://wte-s3.s3.ap-northeast-2.amazonaws.com/wte_food_img/china/cha_12.jpeg
마라탕,면 새우 마라 청경채 숙주 얼큰함 면류,https://wte-s3.s3.ap-northeast-2.amazonaws.com/wte_food_img/china/cha_13.jpeg
잡채밥,밥 면 당근 돼지고기 파프리카 고소함 면류,https://wte-s3.s3.ap-northeast-2.amazonaws.com/wte_food_img/china/cha_14.jpeg
고추잡채,고추 돼지고기 양파 고추가루 피망 얼큰함 미분류,https://wte-s3.s3.ap-northeast-2.amazonaws.com/wte_food_img/china/cha_15.jpeg
류산슬,고추 오징어 청경채 굴소스 새우 느끼함 미분류,https://wte-s3.s3.ap-northeast-2.amazonaws.com/wte_food_img/china/cha_16.jpeg
알리오올리오,면 밀가루 마늘 새우 페퍼론치노 느끼함 면류,https://wte-s3.s3.ap-northeast-2.amazonaws.com/wte_food_img/western/wes_1.jpeg
토마토파스타,면 밀가루 토마토 돼지고기 마늘 촉촉함 면류,https://wte-s3.s3.ap-northeast-2.amazonaws.com/wte_food_img/western/wes_2.jpg
쉬림프피자,새우 밀가루 토마토 버섯 치즈 촉촉함 미분류,https://wte-s3.s3.ap-northeast-2.amazonaws.com/wte_food_img/western/wes_3.jpg
페퍼로니피자,돼지고기 소고기 밀가루 토마토 치즈 촉촉함 미분류,https://wte-s3.s3.ap-northeast-2.amazonaws.com/wte_food_img/western/wes_4.jpg
감바스,새우 마늘 페퍼론치노 토마토 올리브유 느끼함 찜,https://wte-s3.s3.ap-northeast-2.amazonaws.com/wte_food_img/western/wes_5.jpg
불고기피자,소고기 밀가루 토마토 버섯 치즈 촉촉함 미분류,https://wte-s3.s3.ap-northeast-2.amazonaws.com/wte_food_img/western/wes_6.jpg
나폴리피자,밀가루 치즈 마늘 토마토 버섯 촉촉함 미분류,https://wte-s3.s3.ap-northeast-2.amazonaws.com/wte_food_img/western/wes_7.jpg
스테이크,아스파라거스 소고기 마늘 버터 마늘 촉촉함 구이,https://wte-s3.s3.ap-northeast-2.amazonaws.com/wte_food_img/western/wes_8.jpg
라자냐,밀가루 치즈 양파 토마토 마늘 부드러움 면류,https://wte-s3.s3.ap-northeast-2.amazonaws.com/wte_food_img/western/wes_9.jpg
맥엔치즈,마카로니 크림 치즈 밀가루 버터 느끼함 미분류,https://wte-s3.s3.ap-northeast-2.amazonaws.com/wte_food_img/western/wes_10.jpeg
퐁듀,치즈 크림 버섯 버터 마늘 부드러움 미분류,https://wte-s3.s3.ap-northeast-2.amazonaws.com/wte_food_img/western/wes_11.jpg
리조또,밥 크림 버섯 양파 마늘 부드러움 미분류,https://wte-s3.s3.ap-northeast-2.amazonaws.com/wte_food_img/western/wes_12.jpg
오믈렛,계란 치즈 밥 양파 돼지고기 부드러움 미분류,https://wte-s3.s3.ap-northeast-2.amazonaws.com/wte_food_img/western/wes_13.jpg
